2026-07-07 14:15:16,036 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:16,050 | WARNING | aiogram.dispatcher | Sleep for 4.323438 seconds and try again... (tryings = 6, bot id = 8838659979)
2026-07-07 14:15:20,491 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:20,509 | WARNING | aiogram.dispatcher | Sleep for 5.120310 seconds and try again... (tryings = 7, bot id = 8838659979)
2026-07-07 14:15:25,774 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:25,774 | WARNING | aiogram.dispatcher | Sleep for 4.934619 seconds and try again... (tryings = 8, bot id = 8838659979)
2026-07-07 14:15:30,817 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:30,817 | WARNING | aiogram.dispatcher | Sleep for 5.098622 seconds and try again... (tryings = 9, bot id = 8838659979)
2026-07-07 14:15:36,019 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:36,023 | WARNING | aiogram.dispatcher | Sleep for 5.038656 seconds and try again... (tryings = 10, bot id = 8838659979)
2026-07-07 14:15:41,613 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:41,817 | WARNING | aiogram.dispatcher | Sleep for 4.985946 seconds and try again... (tryings = 11, bot id = 8838659979)
2026-07-07 14:15:47,263 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:47,463 | WARNING | aiogram.dispatcher | Sleep for 4.941153 seconds and try again... (tryings = 12, bot id = 8838659979)
2026-07-07 14:15:52,767 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:52,786 | WARNING | aiogram.dispatcher | Sleep for 5.059639 seconds and try again... (tryings = 13, bot id = 8838659979)
2026-07-07 14:15:57,955 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:57,958 | WARNING | aiogram.dispatcher | Sleep for 4.994464 seconds and try again... (tryings = 14, bot id = 8838659979)
2026-07-07 14:16:03,130 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:03,152 | WARNING | aiogram.dispatcher | Sleep for 5.150678 seconds and try again... (tryings = 15, bot id = 8838659979)
2026-07-07 14:16:08,405 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:16:08,427 | WARNING | aiogram.dispatcher | Sleep for 5.037109 seconds and try again... (tryings = 16, bot id = 8838659979)
